iteration 1: Time:0.01, TrainLoss: 0.8560, TrainAccu: 0.5000, TestLoss: 0.6670, TestAccu: 0.5190
iteration 2: Time:0.02, TrainLoss: 3.5734, TrainAccu: 0.5000, TestLoss: 1.1107, TestAccu: 0.5000
iteration 3: Time:0.03, TrainLoss: 3.5184, TrainAccu: 0.5000, TestLoss: 1.0994, TestAccu: 0.5000
iteration 4: Time:0.03, TrainLoss: 1.9218, TrainAccu: 0.5000, TestLoss: 0.7463, TestAccu: 0.5000
iteration 5: Time:0.04, TrainLoss: 1.8721, TrainAccu: 0.5000, TestLoss: 0.7407, TestAccu: 0.5000
iteration 6: Time:0.05, TrainLoss: 1.6484, TrainAccu: 0.5000, TestLoss: 0.7168, TestAccu: 0.5000
iteration 7: Time:0.06, TrainLoss: 1.4888, TrainAccu: 0.5000, TestLoss: 0.7011, TestAccu: 0.5000
iteration 8: Time:0.07, TrainLoss: 1.3857, TrainAccu: 0.5000, TestLoss: 0.6916, TestAccu: 0.5020
iteration 9: Time:0.08, TrainLoss: 1.3102, TrainAccu: 0.5000, TestLoss: 0.6848, TestAccu: 0.5020
iteration 10: Time:0.09, TrainLoss: 1.2498, TrainAccu: 0.5000, TestLoss: 0.6795, TestAccu: 0.5030
iteration 11: Time:0.10, TrainLoss: 1.1994, TrainAccu: 0.5000, TestLoss: 0.6752, TestAccu: 0.5030
iteration 12: Time:0.11, TrainLoss: 1.1561, TrainAccu: 0.5000, TestLoss: 0.6715, TestAccu: 0.5030
iteration 13: Time:0.12, TrainLoss: 1.1183, TrainAccu: 0.5000, TestLoss: 0.6683, TestAccu: 0.5030
iteration 14: Time:0.13, TrainLoss: 1.0848, TrainAccu: 0.5000, TestLoss: 0.6655, TestAccu: 0.5030
iteration 15: Time:0.13, TrainLoss: 1.0549, TrainAccu: 0.5000, TestLoss: 0.6629, TestAccu: 0.5040
iteration 16: Time:0.14, TrainLoss: 1.0279, TrainAccu: 0.5000, TestLoss: 0.6606, TestAccu: 0.5040
iteration 17: Time:0.15, TrainLoss: 1.0033, TrainAccu: 0.5000, TestLoss: 0.6585, TestAccu: 0.5070
iteration 18: Time:0.16, TrainLoss: 0.9809, TrainAccu: 0.5000, TestLoss: 0.6566, TestAccu: 0.5070
iteration 19: Time:0.17, TrainLoss: 0.9603, TrainAccu: 0.5000, TestLoss: 0.6548, TestAccu: 0.5080
iteration 20: Time:0.18, TrainLoss: 0.9413, TrainAccu: 0.5000, TestLoss: 0.6531, TestAccu: 0.5100
iteration 21: Time:0.19, TrainLoss: 0.9237, TrainAccu: 0.5000, TestLoss: 0.6515, TestAccu: 0.5130
iteration 22: Time:0.19, TrainLoss: 0.9073, TrainAccu: 0.5000, TestLoss: 0.6499, TestAccu: 0.5130
iteration 23: Time:0.20, TrainLoss: 0.8921, TrainAccu: 0.5000, TestLoss: 0.6485, TestAccu: 0.5150
iteration 24: Time:0.21, TrainLoss: 0.8778, TrainAccu: 0.5000, TestLoss: 0.6471, TestAccu: 0.5170
iteration 25: Time:0.22, TrainLoss: 0.8645, TrainAccu: 0.5000, TestLoss: 0.6458, TestAccu: 0.5260
iteration 26: Time:0.23, TrainLoss: 0.8519, TrainAccu: 0.5000, TestLoss: 0.6445, TestAccu: 0.5340
iteration 27: Time:0.24, TrainLoss: 0.8401, TrainAccu: 0.5000, TestLoss: 0.6432, TestAccu: 0.5410
iteration 28: Time:0.25, TrainLoss: 0.8290, TrainAccu: 0.5000, TestLoss: 0.6420, TestAccu: 0.5450
iteration 29: Time:0.26, TrainLoss: 0.8184, TrainAccu: 0.5000, TestLoss: 0.6408, TestAccu: 0.5500
iteration 30: Time:0.27, TrainLoss: 0.8084, TrainAccu: 0.5000, TestLoss: 0.6396, TestAccu: 0.5610
iteration 31: Time:0.28, TrainLoss: 0.7989, TrainAccu: 0.5000, TestLoss: 0.6384, TestAccu: 0.5690
iteration 32: Time:0.28, TrainLoss: 0.7899, TrainAccu: 0.5000, TestLoss: 0.6373, TestAccu: 0.5740
iteration 33: Time:0.29, TrainLoss: 0.7813, TrainAccu: 0.5000, TestLoss: 0.6361, TestAccu: 0.5780
iteration 34: Time:0.30, TrainLoss: 0.7731, TrainAccu: 0.5000, TestLoss: 0.6350, TestAccu: 0.5870
iteration 35: Time:0.31, TrainLoss: 0.7653, TrainAccu: 0.5000, TestLoss: 0.6338, TestAccu: 0.5950
iteration 36: Time:0.32, TrainLoss: 0.7578, TrainAccu: 0.5000, TestLoss: 0.6326, TestAccu: 0.5990
iteration 37: Time:0.33, TrainLoss: 0.7506, TrainAccu: 0.5000, TestLoss: 0.6315, TestAccu: 0.6070
iteration 38: Time:0.34, TrainLoss: 0.7437, TrainAccu: 0.5000, TestLoss: 0.6303, TestAccu: 0.6130
iteration 39: Time:0.35, TrainLoss: 0.7370, TrainAccu: 0.5000, TestLoss: 0.6290, TestAccu: 0.6230
iteration 40: Time:0.35, TrainLoss: 0.7305, TrainAccu: 0.5000, TestLoss: 0.6278, TestAccu: 0.6320
iteration 41: Time:0.36, TrainLoss: 0.7243, TrainAccu: 0.5000, TestLoss: 0.6265, TestAccu: 0.6380
iteration 42: Time:0.37, TrainLoss: 0.7183, TrainAccu: 0.5000, TestLoss: 0.6252, TestAccu: 0.6440
iteration 43: Time:0.38, TrainLoss: 0.7124, TrainAccu: 0.5000, TestLoss: 0.6238, TestAccu: 0.6520
iteration 44: Time:0.39, TrainLoss: 0.7066, TrainAccu: 0.5000, TestLoss: 0.6224, TestAccu: 0.6580
iteration 45: Time:0.40, TrainLoss: 0.7010, TrainAccu: 0.5000, TestLoss: 0.6209, TestAccu: 0.6640
iteration 46: Time:0.41, TrainLoss: 0.6955, TrainAccu: 0.5000, TestLoss: 0.6193, TestAccu: 0.6760
iteration 47: Time:0.42, TrainLoss: 0.6900, TrainAccu: 0.5000, TestLoss: 0.6177, TestAccu: 0.6830
iteration 48: Time:0.42, TrainLoss: 0.6846, TrainAccu: 0.5000, TestLoss: 0.6159, TestAccu: 0.6980
iteration 49: Time:0.43, TrainLoss: 0.6793, TrainAccu: 0.5000, TestLoss: 0.6141, TestAccu: 0.7080
iteration 50: Time:0.44, TrainLoss: 0.6740, TrainAccu: 0.5000, TestLoss: 0.6121, TestAccu: 0.7150
iteration 51: Time:0.45, TrainLoss: 0.6686, TrainAccu: 0.5000, TestLoss: 0.6100, TestAccu: 0.7290
iteration 52: Time:0.46, TrainLoss: 0.6633, TrainAccu: 0.5000, TestLoss: 0.6077, TestAccu: 0.7360
iteration 53: Time:0.47, TrainLoss: 0.6578, TrainAccu: 0.5000, TestLoss: 0.6052, TestAccu: 0.7470
iteration 54: Time:0.48, TrainLoss: 0.6523, TrainAccu: 0.5005, TestLoss: 0.6025, TestAccu: 0.7560
iteration 55: Time:0.49, TrainLoss: 0.6467, TrainAccu: 0.5012, TestLoss: 0.5995, TestAccu: 0.7690
iteration 56: Time:0.50, TrainLoss: 0.6409, TrainAccu: 0.5025, TestLoss: 0.5963, TestAccu: 0.7740
iteration 57: Time:0.50, TrainLoss: 0.6349, TrainAccu: 0.5058, TestLoss: 0.5927, TestAccu: 0.7850
iteration 58: Time:0.51, TrainLoss: 0.6288, TrainAccu: 0.5130, TestLoss: 0.5888, TestAccu: 0.7910
iteration 59: Time:0.52, TrainLoss: 0.6224, TrainAccu: 0.5225, TestLoss: 0.5845, TestAccu: 0.8000
iteration 60: Time:0.53, TrainLoss: 0.6158, TrainAccu: 0.5403, TestLoss: 0.5798, TestAccu: 0.8100
iteration 61: Time:0.54, TrainLoss: 0.6090, TrainAccu: 0.5587, TestLoss: 0.5746, TestAccu: 0.8180
iteration 62: Time:0.55, TrainLoss: 0.6020, TrainAccu: 0.5835, TestLoss: 0.5690, TestAccu: 0.8250
iteration 63: Time:0.56, TrainLoss: 0.5948, TrainAccu: 0.6028, TestLoss: 0.5630, TestAccu: 0.8330
iteration 64: Time:0.57, TrainLoss: 0.5876, TrainAccu: 0.6308, TestLoss: 0.5567, TestAccu: 0.8390
iteration 65: Time:0.58, TrainLoss: 0.5805, TrainAccu: 0.6583, TestLoss: 0.5503, TestAccu: 0.8420
iteration 66: Time:0.59, TrainLoss: 0.5736, TrainAccu: 0.6823, TestLoss: 0.5440, TestAccu: 0.8490
iteration 67: Time:0.60, TrainLoss: 0.5670, TrainAccu: 0.7040, TestLoss: 0.5378, TestAccu: 0.8510
iteration 68: Time:0.61, TrainLoss: 0.5606, TrainAccu: 0.7248, TestLoss: 0.5319, TestAccu: 0.8530
iteration 69: Time:0.62, TrainLoss: 0.5544, TrainAccu: 0.7432, TestLoss: 0.5262, TestAccu: 0.8550
iteration 70: Time:0.63, TrainLoss: 0.5483, TrainAccu: 0.7585, TestLoss: 0.5206, TestAccu: 0.8560
iteration 71: Time:0.63, TrainLoss: 0.5425, TrainAccu: 0.7722, TestLoss: 0.5152, TestAccu: 0.8580
iteration 72: Time:0.64, TrainLoss: 0.5368, TrainAccu: 0.7823, TestLoss: 0.5098, TestAccu: 0.8600
iteration 73: Time:0.65, TrainLoss: 0.5312, TrainAccu: 0.7930, TestLoss: 0.5052, TestAccu: 0.8610
iteration 74: Time:0.66, TrainLoss: 0.5256, TrainAccu: 0.7977, TestLoss: 0.4996, TestAccu: 0.8610
iteration 75: Time:0.67, TrainLoss: 0.5174, TrainAccu: 0.8200, TestLoss: 0.4973, TestAccu: 0.8670
iteration 76: Time:0.68, TrainLoss: 0.5126, TrainAccu: 0.8250, TestLoss: 0.4926, TestAccu: 0.8680
iteration 77: Time:0.69, TrainLoss: 0.5079, TrainAccu: 0.8303, TestLoss: 0.4881, TestAccu: 0.8690
iteration 78: Time:0.70, TrainLoss: 0.5033, TrainAccu: 0.8320, TestLoss: 0.4836, TestAccu: 0.8690
iteration 79: Time:0.71, TrainLoss: 0.4989, TrainAccu: 0.8355, TestLoss: 0.4793, TestAccu: 0.8690
iteration 80: Time:0.72, TrainLoss: 0.4945, TrainAccu: 0.8360, TestLoss: 0.4751, TestAccu: 0.8710
iteration 81: Time:0.73, TrainLoss: 0.4903, TrainAccu: 0.8380, TestLoss: 0.4710, TestAccu: 0.8710
iteration 82: Time:0.73, TrainLoss: 0.4862, TrainAccu: 0.8395, TestLoss: 0.4670, TestAccu: 0.8720
iteration 83: Time:0.74, TrainLoss: 0.4822, TrainAccu: 0.8410, TestLoss: 0.4630, TestAccu: 0.8720
iteration 84: Time:0.75, TrainLoss: 0.4782, TrainAccu: 0.8425, TestLoss: 0.4592, TestAccu: 0.8720
iteration 85: Time:0.76, TrainLoss: 0.4744, TrainAccu: 0.8438, TestLoss: 0.4555, TestAccu: 0.8730
iteration 86: Time:0.77, TrainLoss: 0.4706, TrainAccu: 0.8455, TestLoss: 0.4518, TestAccu: 0.8730
iteration 87: Time:0.78, TrainLoss: 0.4668, TrainAccu: 0.8482, TestLoss: 0.4489, TestAccu: 0.8730
iteration 88: Time:0.79, TrainLoss: 0.4630, TrainAccu: 0.8492, TestLoss: 0.4451, TestAccu: 0.8730
iteration 89: Time:0.80, TrainLoss: 0.4595, TrainAccu: 0.8500, TestLoss: 0.4419, TestAccu: 0.8740
iteration 90: Time:0.81, TrainLoss: 0.4560, TrainAccu: 0.8502, TestLoss: 0.4383, TestAccu: 0.8740
iteration 91: Time:0.82, TrainLoss: 0.4522, TrainAccu: 0.8520, TestLoss: 0.4354, TestAccu: 0.8760
iteration 92: Time:0.83, TrainLoss: 0.4490, TrainAccu: 0.8515, TestLoss: 0.4323, TestAccu: 0.8760
iteration 93: Time:0.84, TrainLoss: 0.4459, TrainAccu: 0.8530, TestLoss: 0.4292, TestAccu: 0.8770
iteration 94: Time:0.85, TrainLoss: 0.4428, TrainAccu: 0.8532, TestLoss: 0.4262, TestAccu: 0.8770
iteration 95: Time:0.86, TrainLoss: 0.4398, TrainAccu: 0.8545, TestLoss: 0.4232, TestAccu: 0.8780
iteration 96: Time:0.86, TrainLoss: 0.4369, TrainAccu: 0.8542, TestLoss: 0.4203, TestAccu: 0.8790
iteration 97: Time:0.87, TrainLoss: 0.4340, TrainAccu: 0.8550, TestLoss: 0.4174, TestAccu: 0.8790
iteration 98: Time:0.88, TrainLoss: 0.4311, TrainAccu: 0.8562, TestLoss: 0.4146, TestAccu: 0.8800
iteration 99: Time:0.89, TrainLoss: 0.4283, TrainAccu: 0.8570, TestLoss: 0.4119, TestAccu: 0.8800
iteration 100: Time:0.90, TrainLoss: 0.4255, TrainAccu: 0.8570, TestLoss: 0.4092, TestAccu: 0.8800
iteration 101: Time:0.91, TrainLoss: 0.4228, TrainAccu: 0.8568, TestLoss: 0.4066, TestAccu: 0.8800
iteration 102: Time:0.92, TrainLoss: 0.4201, TrainAccu: 0.8575, TestLoss: 0.4041, TestAccu: 0.8810
iteration 103: Time:0.93, TrainLoss: 0.4170, TrainAccu: 0.8590, TestLoss: 0.4008, TestAccu: 0.8810
iteration 104: Time:0.94, TrainLoss: 0.4126, TrainAccu: 0.8590, TestLoss: 0.3970, TestAccu: 0.8810
