epoch 1[0/10000 (0%)]: Time:0.10, TrainLoss: 2.4491, TrainAccu: 0.5000, TestLoss: 0.6885, TestAccu: 0.5440
epoch 1[100/10000 (1%)]: Time:0.11, TrainLoss: 2.3414, TrainAccu: 0.4900, TestLoss: 0.6879, TestAccu: 0.5490
epoch 1[2500/10000 (25%)]: Time:0.18, TrainLoss: 0.7251, TrainAccu: 0.5200, TestLoss: 0.6777, TestAccu: 0.6570
epoch 1[5000/10000 (50%)]: Time:0.29, TrainLoss: 0.6261, TrainAccu: 0.7900, TestLoss: 0.6752, TestAccu: 0.6570
epoch 1[7500/10000 (75%)]: Time:0.36, TrainLoss: 0.6164, TrainAccu: 0.8100, TestLoss: 0.6743, TestAccu: 0.6600
epoch 2[0/10000 (0%)]: Time:0.47, TrainLoss: 0.6050, TrainAccu: 0.8600, TestLoss: 0.6735, TestAccu: 0.6680
epoch 2[100/10000 (1%)]: Time:0.48, TrainLoss: 0.6108, TrainAccu: 0.8100, TestLoss: 0.6735, TestAccu: 0.6660
epoch 2[2500/10000 (25%)]: Time:0.54, TrainLoss: 0.6098, TrainAccu: 0.8200, TestLoss: 0.6729, TestAccu: 0.6720
epoch 2[5000/10000 (50%)]: Time:0.60, TrainLoss: 0.6115, TrainAccu: 0.8500, TestLoss: 0.6722, TestAccu: 0.6790
epoch 2[7500/10000 (75%)]: Time:0.66, TrainLoss: 0.6046, TrainAccu: 0.7600, TestLoss: 0.6716, TestAccu: 0.6870
epoch 3[0/10000 (0%)]: Time:0.77, TrainLoss: 0.6086, TrainAccu: 0.7700, TestLoss: 0.6708, TestAccu: 0.6870
epoch 3[100/10000 (1%)]: Time:0.78, TrainLoss: 0.6078, TrainAccu: 0.8200, TestLoss: 0.6708, TestAccu: 0.6860
epoch 3[2500/10000 (25%)]: Time:0.84, TrainLoss: 0.6046, TrainAccu: 0.7900, TestLoss: 0.6701, TestAccu: 0.6930
epoch 3[5000/10000 (50%)]: Time:0.90, TrainLoss: 0.5927, TrainAccu: 0.8800, TestLoss: 0.6695, TestAccu: 0.7020
epoch 3[7500/10000 (75%)]: Time:0.95, TrainLoss: 0.5968, TrainAccu: 0.8400, TestLoss: 0.6688, TestAccu: 0.7060
epoch 4[0/10000 (0%)]: Time:1.06, TrainLoss: 0.5987, TrainAccu: 0.8200, TestLoss: 0.6681, TestAccu: 0.7120
epoch 4[100/10000 (1%)]: Time:1.07, TrainLoss: 0.6036, TrainAccu: 0.8900, TestLoss: 0.6681, TestAccu: 0.7120
epoch 4[2500/10000 (25%)]: Time:1.13, TrainLoss: 0.5876, TrainAccu: 0.8500, TestLoss: 0.6676, TestAccu: 0.7170
epoch 4[5000/10000 (50%)]: Time:1.19, TrainLoss: 0.5964, TrainAccu: 0.8100, TestLoss: 0.6669, TestAccu: 0.7230
epoch 4[7500/10000 (75%)]: Time:1.26, TrainLoss: 0.5877, TrainAccu: 0.8600, TestLoss: 0.6663, TestAccu: 0.7270
epoch 5[0/10000 (0%)]: Time:1.37, TrainLoss: 0.5969, TrainAccu: 0.8200, TestLoss: 0.6655, TestAccu: 0.7250
