epoch 1[0/10000 (0%)]: Time:0.16, TrainLoss: 2.6448, TrainAccu: 0.0000, TestLoss: 0.7119, TestAccu: 0.3040
epoch 1[500/10000 (5%)]: Time:0.57, TrainLoss: 1.6409, TrainAccu: 0.0000, TestLoss: 0.5982, TestAccu: 0.8470
epoch 1[1000/10000 (10%)]: Time:0.97, TrainLoss: 0.2118, TrainAccu: 1.0000, TestLoss: 0.5548, TestAccu: 0.8860
epoch 1[1500/10000 (15%)]: Time:1.40, TrainLoss: 0.9816, TrainAccu: 0.0000, TestLoss: 0.5300, TestAccu: 0.8860
epoch 1[2000/10000 (20%)]: Time:1.85, TrainLoss: 0.0183, TrainAccu: 1.0000, TestLoss: 0.5124, TestAccu: 0.8960
epoch 1[2500/10000 (25%)]: Time:2.29, TrainLoss: 0.4353, TrainAccu: 1.0000, TestLoss: 0.5021, TestAccu: 0.8950
epoch 1[3000/10000 (30%)]: Time:2.73, TrainLoss: 0.0257, TrainAccu: 1.0000, TestLoss: 0.4903, TestAccu: 0.8970
epoch 1[3500/10000 (35%)]: Time:3.17, TrainLoss: 0.0407, TrainAccu: 1.0000, TestLoss: 0.4790, TestAccu: 0.8980
epoch 1[4000/10000 (40%)]: Time:3.61, TrainLoss: 0.0714, TrainAccu: 1.0000, TestLoss: 0.4759, TestAccu: 0.8970
epoch 1[4500/10000 (45%)]: Time:4.05, TrainLoss: 0.1262, TrainAccu: 1.0000, TestLoss: 0.4776, TestAccu: 0.8920
epoch 1[5000/10000 (50%)]: Time:4.49, TrainLoss: 0.4615, TrainAccu: 1.0000, TestLoss: 0.4681, TestAccu: 0.9020
epoch 1[5500/10000 (55%)]: Time:4.93, TrainLoss: 0.0022, TrainAccu: 1.0000, TestLoss: 0.4628, TestAccu: 0.9050
epoch 1[6000/10000 (60%)]: Time:5.37, TrainLoss: 0.5537, TrainAccu: 1.0000, TestLoss: 0.4632, TestAccu: 0.8900
epoch 1[6500/10000 (65%)]: Time:5.81, TrainLoss: 1.5881, TrainAccu: 0.0000, TestLoss: 0.4617, TestAccu: 0.8960
epoch 1[7000/10000 (70%)]: Time:6.25, TrainLoss: 0.0153, TrainAccu: 1.0000, TestLoss: 0.4603, TestAccu: 0.8890
epoch 1[7500/10000 (75%)]: Time:6.69, TrainLoss: 0.0303, TrainAccu: 1.0000, TestLoss: 0.4558, TestAccu: 0.9000
epoch 1[8000/10000 (80%)]: Time:7.13, TrainLoss: 0.0035, TrainAccu: 1.0000, TestLoss: 0.4550, TestAccu: 0.8890
epoch 1[8500/10000 (85%)]: Time:7.57, TrainLoss: 0.1859, TrainAccu: 1.0000, TestLoss: 0.4500, TestAccu: 0.9020
