iteration 1: Time:0.01, TrainLoss: 0.8172, TrainAccu: 0.5000, TestLoss: 0.7545, TestAccu: 0.4640
iteration 2: Time:0.02, TrainLoss: 0.7804, TrainAccu: 0.5000, TestLoss: 0.7230, TestAccu: 0.3630
iteration 3: Time:0.02, TrainLoss: 0.7799, TrainAccu: 0.5000, TestLoss: 0.7230, TestAccu: 0.3640
iteration 4: Time:0.03, TrainLoss: 0.7793, TrainAccu: 0.5000, TestLoss: 0.7230, TestAccu: 0.3610
iteration 5: Time:0.04, TrainLoss: 0.7787, TrainAccu: 0.5000, TestLoss: 0.7230, TestAccu: 0.3620
iteration 6: Time:0.05, TrainLoss: 0.7781, TrainAccu: 0.5000, TestLoss: 0.7230, TestAccu: 0.3610
iteration 7: Time:0.06, TrainLoss: 0.7774, TrainAccu: 0.5000, TestLoss: 0.7230, TestAccu: 0.3610
iteration 8: Time:0.07, TrainLoss: 0.7768, TrainAccu: 0.5000, TestLoss: 0.7229, TestAccu: 0.3600
iteration 9: Time:0.08, TrainLoss: 0.7762, TrainAccu: 0.5000, TestLoss: 0.7229, TestAccu: 0.3600
iteration 10: Time:0.09, TrainLoss: 0.7755, TrainAccu: 0.5000, TestLoss: 0.7228, TestAccu: 0.3600
iteration 11: Time:0.09, TrainLoss: 0.7748, TrainAccu: 0.5000, TestLoss: 0.7228, TestAccu: 0.3600
iteration 12: Time:0.10, TrainLoss: 0.7741, TrainAccu: 0.5000, TestLoss: 0.7227, TestAccu: 0.3590
iteration 13: Time:0.11, TrainLoss: 0.7734, TrainAccu: 0.5000, TestLoss: 0.7226, TestAccu: 0.3580
iteration 14: Time:0.12, TrainLoss: 0.7727, TrainAccu: 0.5000, TestLoss: 0.7225, TestAccu: 0.3580
iteration 15: Time:0.13, TrainLoss: 0.7720, TrainAccu: 0.5000, TestLoss: 0.7224, TestAccu: 0.3550
iteration 16: Time:0.14, TrainLoss: 0.7713, TrainAccu: 0.5000, TestLoss: 0.7223, TestAccu: 0.3540
iteration 17: Time:0.15, TrainLoss: 0.7705, TrainAccu: 0.5000, TestLoss: 0.7221, TestAccu: 0.3560
iteration 18: Time:0.16, TrainLoss: 0.7698, TrainAccu: 0.5000, TestLoss: 0.7220, TestAccu: 0.3590
iteration 19: Time:0.16, TrainLoss: 0.7690, TrainAccu: 0.5000, TestLoss: 0.7218, TestAccu: 0.3600
iteration 20: Time:0.17, TrainLoss: 0.7682, TrainAccu: 0.5000, TestLoss: 0.7216, TestAccu: 0.3610
iteration 21: Time:0.18, TrainLoss: 0.7674, TrainAccu: 0.5000, TestLoss: 0.7214, TestAccu: 0.3620
iteration 22: Time:0.19, TrainLoss: 0.7665, TrainAccu: 0.5000, TestLoss: 0.7212, TestAccu: 0.3650
iteration 23: Time:0.20, TrainLoss: 0.7656, TrainAccu: 0.5000, TestLoss: 0.7209, TestAccu: 0.3630
iteration 24: Time:0.21, TrainLoss: 0.7647, TrainAccu: 0.5000, TestLoss: 0.7206, TestAccu: 0.3630
iteration 25: Time:0.22, TrainLoss: 0.7637, TrainAccu: 0.5000, TestLoss: 0.7203, TestAccu: 0.3630
iteration 26: Time:0.23, TrainLoss: 0.7627, TrainAccu: 0.5000, TestLoss: 0.7199, TestAccu: 0.3650
iteration 27: Time:0.24, TrainLoss: 0.7616, TrainAccu: 0.5000, TestLoss: 0.7194, TestAccu: 0.3640
iteration 28: Time:0.25, TrainLoss: 0.7604, TrainAccu: 0.5000, TestLoss: 0.7189, TestAccu: 0.3640
iteration 29: Time:0.25, TrainLoss: 0.7592, TrainAccu: 0.5000, TestLoss: 0.7184, TestAccu: 0.3670
iteration 30: Time:0.26, TrainLoss: 0.7579, TrainAccu: 0.5000, TestLoss: 0.7177, TestAccu: 0.3680
iteration 31: Time:0.27, TrainLoss: 0.7564, TrainAccu: 0.5000, TestLoss: 0.7170, TestAccu: 0.3700
iteration 32: Time:0.28, TrainLoss: 0.7549, TrainAccu: 0.5000, TestLoss: 0.7161, TestAccu: 0.3750
iteration 33: Time:0.29, TrainLoss: 0.7532, TrainAccu: 0.5000, TestLoss: 0.7151, TestAccu: 0.3800
iteration 34: Time:0.30, TrainLoss: 0.7514, TrainAccu: 0.5000, TestLoss: 0.7139, TestAccu: 0.3890
iteration 35: Time:0.31, TrainLoss: 0.7494, TrainAccu: 0.5000, TestLoss: 0.7126, TestAccu: 0.3950
iteration 36: Time:0.32, TrainLoss: 0.7472, TrainAccu: 0.5000, TestLoss: 0.7111, TestAccu: 0.4030
iteration 37: Time:0.33, TrainLoss: 0.7448, TrainAccu: 0.5000, TestLoss: 0.7093, TestAccu: 0.4160
iteration 38: Time:0.34, TrainLoss: 0.7422, TrainAccu: 0.5000, TestLoss: 0.7072, TestAccu: 0.4320
iteration 39: Time:0.35, TrainLoss: 0.7394, TrainAccu: 0.5000, TestLoss: 0.7049, TestAccu: 0.4470
iteration 40: Time:0.35, TrainLoss: 0.7364, TrainAccu: 0.5000, TestLoss: 0.7023, TestAccu: 0.4700
iteration 41: Time:0.36, TrainLoss: 0.7333, TrainAccu: 0.5000, TestLoss: 0.6994, TestAccu: 0.4960
iteration 42: Time:0.37, TrainLoss: 0.7301, TrainAccu: 0.5000, TestLoss: 0.6964, TestAccu: 0.5220
iteration 43: Time:0.38, TrainLoss: 0.7269, TrainAccu: 0.5000, TestLoss: 0.6933, TestAccu: 0.5450
iteration 44: Time:0.39, TrainLoss: 0.7237, TrainAccu: 0.5000, TestLoss: 0.6903, TestAccu: 0.5640
iteration 45: Time:0.40, TrainLoss: 0.7206, TrainAccu: 0.5000, TestLoss: 0.6873, TestAccu: 0.5870
iteration 46: Time:0.41, TrainLoss: 0.7175, TrainAccu: 0.5000, TestLoss: 0.6844, TestAccu: 0.5990
iteration 47: Time:0.41, TrainLoss: 0.7144, TrainAccu: 0.5000, TestLoss: 0.6813, TestAccu: 0.6240
iteration 48: Time:0.42, TrainLoss: 0.7110, TrainAccu: 0.5000, TestLoss: 0.6792, TestAccu: 0.6480
iteration 49: Time:0.43, TrainLoss: 0.7081, TrainAccu: 0.5000, TestLoss: 0.6765, TestAccu: 0.6580
iteration 50: Time:0.44, TrainLoss: 0.7051, TrainAccu: 0.5000, TestLoss: 0.6736, TestAccu: 0.6720
iteration 51: Time:0.45, TrainLoss: 0.7022, TrainAccu: 0.5000, TestLoss: 0.6708, TestAccu: 0.6800
iteration 52: Time:0.46, TrainLoss: 0.6993, TrainAccu: 0.5000, TestLoss: 0.6679, TestAccu: 0.6890
iteration 53: Time:0.46, TrainLoss: 0.6964, TrainAccu: 0.5000, TestLoss: 0.6653, TestAccu: 0.6960
iteration 54: Time:0.47, TrainLoss: 0.6935, TrainAccu: 0.5000, TestLoss: 0.6624, TestAccu: 0.7030
iteration 55: Time:0.48, TrainLoss: 0.6906, TrainAccu: 0.5000, TestLoss: 0.6599, TestAccu: 0.7080
iteration 56: Time:0.49, TrainLoss: 0.6878, TrainAccu: 0.5000, TestLoss: 0.6571, TestAccu: 0.7130
iteration 57: Time:0.49, TrainLoss: 0.6850, TrainAccu: 0.5000, TestLoss: 0.6545, TestAccu: 0.7140
iteration 58: Time:0.50, TrainLoss: 0.6823, TrainAccu: 0.5000, TestLoss: 0.6519, TestAccu: 0.7240
iteration 59: Time:0.51, TrainLoss: 0.6795, TrainAccu: 0.5000, TestLoss: 0.6492, TestAccu: 0.7310
iteration 60: Time:0.52, TrainLoss: 0.6768, TrainAccu: 0.5000, TestLoss: 0.6468, TestAccu: 0.7380
iteration 61: Time:0.53, TrainLoss: 0.6740, TrainAccu: 0.5000, TestLoss: 0.6437, TestAccu: 0.7410
iteration 62: Time:0.54, TrainLoss: 0.6468, TrainAccu: 0.7758, TestLoss: 0.6441, TestAccu: 0.8030
iteration 63: Time:0.55, TrainLoss: 0.6445, TrainAccu: 0.7810, TestLoss: 0.6415, TestAccu: 0.8120
iteration 64: Time:0.56, TrainLoss: 0.6422, TrainAccu: 0.7837, TestLoss: 0.6390, TestAccu: 0.8190
iteration 65: Time:0.56, TrainLoss: 0.6398, TrainAccu: 0.7883, TestLoss: 0.6364, TestAccu: 0.8220
iteration 66: Time:0.57, TrainLoss: 0.6374, TrainAccu: 0.7907, TestLoss: 0.6338, TestAccu: 0.8280
iteration 67: Time:0.58, TrainLoss: 0.6350, TrainAccu: 0.7947, TestLoss: 0.6312, TestAccu: 0.8280
iteration 68: Time:0.59, TrainLoss: 0.6326, TrainAccu: 0.7983, TestLoss: 0.6286, TestAccu: 0.8300
iteration 69: Time:0.60, TrainLoss: 0.6302, TrainAccu: 0.8000, TestLoss: 0.6260, TestAccu: 0.8400
iteration 70: Time:0.61, TrainLoss: 0.6278, TrainAccu: 0.8030, TestLoss: 0.6234, TestAccu: 0.8440
iteration 71: Time:0.62, TrainLoss: 0.6254, TrainAccu: 0.8053, TestLoss: 0.6208, TestAccu: 0.8470
iteration 72: Time:0.63, TrainLoss: 0.6230, TrainAccu: 0.8080, TestLoss: 0.6183, TestAccu: 0.8490
iteration 73: Time:0.64, TrainLoss: 0.6206, TrainAccu: 0.8103, TestLoss: 0.6157, TestAccu: 0.8560
iteration 74: Time:0.65, TrainLoss: 0.6161, TrainAccu: 0.8243, TestLoss: 0.6112, TestAccu: 0.8640
iteration 75: Time:0.66, TrainLoss: 0.6138, TrainAccu: 0.8263, TestLoss: 0.6086, TestAccu: 0.8670
iteration 76: Time:0.67, TrainLoss: 0.6115, TrainAccu: 0.8303, TestLoss: 0.6062, TestAccu: 0.8710
iteration 77: Time:0.68, TrainLoss: 0.6091, TrainAccu: 0.8337, TestLoss: 0.6037, TestAccu: 0.8740
iteration 78: Time:0.69, TrainLoss: 0.6068, TrainAccu: 0.8387, TestLoss: 0.6012, TestAccu: 0.8760
iteration 79: Time:0.70, TrainLoss: 0.6045, TrainAccu: 0.8413, TestLoss: 0.5988, TestAccu: 0.8790
iteration 80: Time:0.71, TrainLoss: 0.6022, TrainAccu: 0.8445, TestLoss: 0.5963, TestAccu: 0.8810
iteration 81: Time:0.71, TrainLoss: 0.5999, TrainAccu: 0.8472, TestLoss: 0.5939, TestAccu: 0.8800
iteration 82: Time:0.72, TrainLoss: 0.5977, TrainAccu: 0.8508, TestLoss: 0.5915, TestAccu: 0.8800
iteration 83: Time:0.73, TrainLoss: 0.5954, TrainAccu: 0.8520, TestLoss: 0.5892, TestAccu: 0.8800
iteration 84: Time:0.74, TrainLoss: 0.5932, TrainAccu: 0.8565, TestLoss: 0.5868, TestAccu: 0.8800
iteration 85: Time:0.75, TrainLoss: 0.5894, TrainAccu: 0.8540, TestLoss: 0.5828, TestAccu: 0.8820
iteration 86: Time:0.76, TrainLoss: 0.5873, TrainAccu: 0.8568, TestLoss: 0.5805, TestAccu: 0.8820
iteration 87: Time:0.77, TrainLoss: 0.5851, TrainAccu: 0.8592, TestLoss: 0.5782, TestAccu: 0.8820
iteration 88: Time:0.78, TrainLoss: 0.5830, TrainAccu: 0.8600, TestLoss: 0.5760, TestAccu: 0.8830
iteration 89: Time:0.79, TrainLoss: 0.5808, TrainAccu: 0.8600, TestLoss: 0.5738, TestAccu: 0.8830
iteration 90: Time:0.80, TrainLoss: 0.5787, TrainAccu: 0.8625, TestLoss: 0.5715, TestAccu: 0.8850
iteration 91: Time:0.80, TrainLoss: 0.5766, TrainAccu: 0.8642, TestLoss: 0.5693, TestAccu: 0.8870
iteration 92: Time:0.81, TrainLoss: 0.5744, TrainAccu: 0.8652, TestLoss: 0.5671, TestAccu: 0.8870
iteration 93: Time:0.82, TrainLoss: 0.5724, TrainAccu: 0.8665, TestLoss: 0.5650, TestAccu: 0.8870
iteration 94: Time:0.82, TrainLoss: 0.5703, TrainAccu: 0.8678, TestLoss: 0.5628, TestAccu: 0.8860
iteration 95: Time:0.83, TrainLoss: 0.5682, TrainAccu: 0.8692, TestLoss: 0.5607, TestAccu: 0.8860
iteration 96: Time:0.84, TrainLoss: 0.5646, TrainAccu: 0.8725, TestLoss: 0.5570, TestAccu: 0.8880
iteration 97: Time:0.85, TrainLoss: 0.5626, TrainAccu: 0.8732, TestLoss: 0.5549, TestAccu: 0.8880
iteration 98: Time:0.86, TrainLoss: 0.5606, TrainAccu: 0.8742, TestLoss: 0.5529, TestAccu: 0.8880
iteration 99: Time:0.87, TrainLoss: 0.5586, TrainAccu: 0.8755, TestLoss: 0.5508, TestAccu: 0.8870
iteration 100: Time:0.88, TrainLoss: 0.5567, TrainAccu: 0.8768, TestLoss: 0.5488, TestAccu: 0.8880
iteration 101: Time:0.89, TrainLoss: 0.5547, TrainAccu: 0.8770, TestLoss: 0.5467, TestAccu: 0.8880
iteration 102: Time:0.90, TrainLoss: 0.5527, TrainAccu: 0.8775, TestLoss: 0.5447, TestAccu: 0.8880
iteration 103: Time:0.91, TrainLoss: 0.5508, TrainAccu: 0.8785, TestLoss: 0.5427, TestAccu: 0.8880
iteration 104: Time:0.92, TrainLoss: 0.5489, TrainAccu: 0.8795, TestLoss: 0.5407, TestAccu: 0.8880
iteration 105: Time:0.93, TrainLoss: 0.5469, TrainAccu: 0.8800, TestLoss: 0.5387, TestAccu: 0.8880
iteration 106: Time:0.93, TrainLoss: 0.5450, TrainAccu: 0.8800, TestLoss: 0.5368, TestAccu: 0.8880
iteration 107: Time:0.94, TrainLoss: 0.5417, TrainAccu: 0.8760, TestLoss: 0.5331, TestAccu: 0.8850
iteration 108: Time:0.95, TrainLoss: 0.5399, TrainAccu: 0.8762, TestLoss: 0.5312, TestAccu: 0.8860
iteration 109: Time:0.96, TrainLoss: 0.5380, TrainAccu: 0.8775, TestLoss: 0.5293, TestAccu: 0.8860
iteration 110: Time:0.97, TrainLoss: 0.5362, TrainAccu: 0.8785, TestLoss: 0.5274, TestAccu: 0.8870
iteration 111: Time:0.98, TrainLoss: 0.5343, TrainAccu: 0.8790, TestLoss: 0.5256, TestAccu: 0.8860
iteration 112: Time:1.00, TrainLoss: 0.5325, TrainAccu: 0.8802, TestLoss: 0.5237, TestAccu: 0.8860
iteration 113: Time:1.01, TrainLoss: 0.5307, TrainAccu: 0.8812, TestLoss: 0.5219, TestAccu: 0.8880
iteration 114: Time:1.03, TrainLoss: 0.5289, TrainAccu: 0.8818, TestLoss: 0.5200, TestAccu: 0.8880
iteration 115: Time:1.04, TrainLoss: 0.5271, TrainAccu: 0.8812, TestLoss: 0.5182, TestAccu: 0.8880
iteration 116: Time:1.05, TrainLoss: 0.5253, TrainAccu: 0.8820, TestLoss: 0.5164, TestAccu: 0.8870
iteration 117: Time:1.06, TrainLoss: 0.5235, TrainAccu: 0.8822, TestLoss: 0.5146, TestAccu: 0.8870
iteration 118: Time:1.08, TrainLoss: 0.5218, TrainAccu: 0.8828, TestLoss: 0.5128, TestAccu: 0.8870
iteration 119: Time:1.09, TrainLoss: 0.5196, TrainAccu: 0.8805, TestLoss: 0.5102, TestAccu: 0.8870
iteration 120: Time:1.10, TrainLoss: 0.5179, TrainAccu: 0.8812, TestLoss: 0.5085, TestAccu: 0.8890
iteration 121: Time:1.12, TrainLoss: 0.5162, TrainAccu: 0.8820, TestLoss: 0.5067, TestAccu: 0.8890
iteration 122: Time:1.13, TrainLoss: 0.5144, TrainAccu: 0.8822, TestLoss: 0.5050, TestAccu: 0.8880
iteration 123: Time:1.15, TrainLoss: 0.5127, TrainAccu: 0.8828, TestLoss: 0.5033, TestAccu: 0.8870
iteration 124: Time:1.16, TrainLoss: 0.5111, TrainAccu: 0.8842, TestLoss: 0.5016, TestAccu: 0.8870
iteration 125: Time:1.17, TrainLoss: 0.5094, TrainAccu: 0.8845, TestLoss: 0.4999, TestAccu: 0.8870
iteration 126: Time:1.18, TrainLoss: 0.5077, TrainAccu: 0.8842, TestLoss: 0.4982, TestAccu: 0.8870
iteration 127: Time:1.19, TrainLoss: 0.5061, TrainAccu: 0.8845, TestLoss: 0.4965, TestAccu: 0.8870
iteration 128: Time:1.20, TrainLoss: 0.5044, TrainAccu: 0.8855, TestLoss: 0.4949, TestAccu: 0.8890
iteration 129: Time:1.21, TrainLoss: 0.5028, TrainAccu: 0.8862, TestLoss: 0.4932, TestAccu: 0.8920
iteration 130: Time:1.22, TrainLoss: 0.5012, TrainAccu: 0.8878, TestLoss: 0.4916, TestAccu: 0.8910
iteration 131: Time:1.23, TrainLoss: 0.4987, TrainAccu: 0.8862, TestLoss: 0.4890, TestAccu: 0.8870
iteration 132: Time:1.24, TrainLoss: 0.4970, TrainAccu: 0.8872, TestLoss: 0.4873, TestAccu: 0.8890
iteration 133: Time:1.25, TrainLoss: 0.4954, TrainAccu: 0.8880, TestLoss: 0.4856, TestAccu: 0.8890
iteration 134: Time:1.26, TrainLoss: 0.4936, TrainAccu: 0.8888, TestLoss: 0.4839, TestAccu: 0.8920
iteration 135: Time:1.27, TrainLoss: 0.4920, TrainAccu: 0.8895, TestLoss: 0.4823, TestAccu: 0.8920
iteration 136: Time:1.28, TrainLoss: 0.4905, TrainAccu: 0.8898, TestLoss: 0.4808, TestAccu: 0.8920
iteration 137: Time:1.29, TrainLoss: 0.4890, TrainAccu: 0.8902, TestLoss: 0.4792, TestAccu: 0.8940
iteration 138: Time:1.30, TrainLoss: 0.4874, TrainAccu: 0.8900, TestLoss: 0.4777, TestAccu: 0.8940
iteration 139: Time:1.31, TrainLoss: 0.4859, TrainAccu: 0.8898, TestLoss: 0.4762, TestAccu: 0.8940
iteration 140: Time:1.32, TrainLoss: 0.4844, TrainAccu: 0.8895, TestLoss: 0.4747, TestAccu: 0.8940
iteration 141: Time:1.33, TrainLoss: 0.4829, TrainAccu: 0.8898, TestLoss: 0.4731, TestAccu: 0.8950
iteration 142: Time:1.34, TrainLoss: 0.4805, TrainAccu: 0.8915, TestLoss: 0.4710, TestAccu: 0.8950
