iteration 1: Time:0.01, TrainLoss: 0.8449, TrainAccu: 0.5000, TestLoss: 0.7153, TestAccu: 0.4880
iteration 0: Time:0.01, TrainLoss: 18.1743, TrainAccu: 0.5000, TestLoss: 4.9008, TestAccu: 0.5000
iteration 1: Time:0.02, TrainLoss: 16.9121, TrainAccu: 0.5000, TestLoss: 4.5571, TestAccu: 0.5000
iteration 2: Time:0.03, TrainLoss: inf, TrainAccu: 0.5000, TestLoss: inf, TestAccu: 0.5000
iteration 3: Time:0.04, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 4: Time:0.05, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 5: Time:0.05, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 6: Time:0.06, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 7: Time:0.07, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 8: Time:0.08, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.09, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.09, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.10, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.11, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.12, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.12, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.13, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.14, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.14, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.15, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.16, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.17, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.17, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.18, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
iteration 9: Time:0.19, TrainLoss: nan, TrainAccu: 0.5000, TestLoss: nan, TestAccu: 0.5000
