epoch 1[0/10000 (0%)]: Time:0.04, TrainLoss: 0.7935, TrainAccu: 0.5300, TestLoss: 0.6855, TestAccu: 0.5320
epoch 1[500/10000 (5%)]: Time:0.06, TrainLoss: 2.2031, TrainAccu: 0.5400, TestLoss: 0.6625, TestAccu: 0.6300
epoch 1[1000/10000 (10%)]: Time:0.07, TrainLoss: 4.1103, TrainAccu: 0.4300, TestLoss: 0.6694, TestAccu: 0.6550
epoch 1[1500/10000 (15%)]: Time:0.09, TrainLoss: 2.2506, TrainAccu: 0.4300, TestLoss: 0.6431, TestAccu: 0.6180
epoch 1[2000/10000 (20%)]: Time:0.10, TrainLoss: 2.0785, TrainAccu: 0.5200, TestLoss: 0.6556, TestAccu: 0.7160
epoch 1[2500/10000 (25%)]: Time:0.12, TrainLoss: 2.4889, TrainAccu: 0.4700, TestLoss: 0.6289, TestAccu: 0.7170
epoch 1[3000/10000 (30%)]: Time:0.14, TrainLoss: 3.2871, TrainAccu: 0.4100, TestLoss: 0.6421, TestAccu: 0.7540
epoch 1[3500/10000 (35%)]: Time:0.21, TrainLoss: 2.5235, TrainAccu: 0.5700, TestLoss: 0.6174, TestAccu: 0.8420
epoch 1[4000/10000 (40%)]: Time:0.22, TrainLoss: 2.3922, TrainAccu: 0.5600, TestLoss: 0.6190, TestAccu: 0.8640
epoch 1[4500/10000 (45%)]: Time:0.24, TrainLoss: 2.4450, TrainAccu: 0.5200, TestLoss: 0.6015, TestAccu: 0.8290
epoch 1[5000/10000 (50%)]: Time:0.25, TrainLoss: 1.9026, TrainAccu: 0.4800, TestLoss: 0.6114, TestAccu: 0.8430
epoch 1[5500/10000 (55%)]: Time:0.27, TrainLoss: 2.4469, TrainAccu: 0.5600, TestLoss: 0.5902, TestAccu: 0.8580
epoch 1[6000/10000 (60%)]: Time:0.28, TrainLoss: 1.9062, TrainAccu: 0.5200, TestLoss: 0.5952, TestAccu: 0.8660
epoch 1[6500/10000 (65%)]: Time:0.30, TrainLoss: 1.7892, TrainAccu: 0.5100, TestLoss: 0.5760, TestAccu: 0.8450
epoch 1[7000/10000 (70%)]: Time:0.31, TrainLoss: 1.9525, TrainAccu: 0.4300, TestLoss: 0.5873, TestAccu: 0.8550
epoch 1[7500/10000 (75%)]: Time:0.33, TrainLoss: 1.7674, TrainAccu: 0.5100, TestLoss: 0.5652, TestAccu: 0.8520
epoch 1[8000/10000 (80%)]: Time:0.34, TrainLoss: 1.3463, TrainAccu: 0.4700, TestLoss: 0.5746, TestAccu: 0.8680
epoch 1[8500/10000 (85%)]: Time:0.36, TrainLoss: 0.6406, TrainAccu: 0.6800, TestLoss: 0.5552, TestAccu: 0.8630
epoch 1[9000/10000 (90%)]: Time:0.37, TrainLoss: 1.5637, TrainAccu: 0.4600, TestLoss: 0.5639, TestAccu: 0.8720
epoch 1[9500/10000 (95%)]: Time:0.39, TrainLoss: 0.8599, TrainAccu: 0.5900, TestLoss: 0.5451, TestAccu: 0.8630
epoch 2[0/10000 (0%)]: Time:0.45, TrainLoss: 2.6323, TrainAccu: 0.5200, TestLoss: 0.5471, TestAccu: 0.8860
epoch 2[500/10000 (5%)]: Time:0.47, TrainLoss: 1.7085, TrainAccu: 0.4500, TestLoss: 0.5343, TestAccu: 0.8620
epoch 2[1000/10000 (10%)]: Time:0.49, TrainLoss: 0.8790, TrainAccu: 0.5100, TestLoss: 0.5430, TestAccu: 0.8810
epoch 2[1500/10000 (15%)]: Time:0.50, TrainLoss: 1.5128, TrainAccu: 0.4500, TestLoss: 0.5261, TestAccu: 0.8610
epoch 2[2000/10000 (20%)]: Time:0.52, TrainLoss: 1.1303, TrainAccu: 0.4800, TestLoss: 0.5332, TestAccu: 0.8830
epoch 2[2500/10000 (25%)]: Time:0.53, TrainLoss: 2.3107, TrainAccu: 0.4400, TestLoss: 0.5175, TestAccu: 0.8610
epoch 2[3000/10000 (30%)]: Time:0.55, TrainLoss: 0.8929, TrainAccu: 0.5500, TestLoss: 0.5237, TestAccu: 0.8820
epoch 2[3500/10000 (35%)]: Time:0.62, TrainLoss: 2.0810, TrainAccu: 0.4100, TestLoss: 0.5093, TestAccu: 0.8610
epoch 2[4000/10000 (40%)]: Time:0.64, TrainLoss: 0.4805, TrainAccu: 0.7800, TestLoss: 0.5130, TestAccu: 0.8890
epoch 2[4500/10000 (45%)]: Time:0.65, TrainLoss: 1.0677, TrainAccu: 0.5700, TestLoss: 0.5066, TestAccu: 0.8690
epoch 2[5000/10000 (50%)]: Time:0.67, TrainLoss: 1.0922, TrainAccu: 0.5200, TestLoss: 0.5111, TestAccu: 0.8870
epoch 2[5500/10000 (55%)]: Time:0.69, TrainLoss: 0.9315, TrainAccu: 0.6500, TestLoss: 0.5009, TestAccu: 0.8780
epoch 2[6000/10000 (60%)]: Time:0.70, TrainLoss: 1.0841, TrainAccu: 0.6200, TestLoss: 0.5035, TestAccu: 0.8910
epoch 2[6500/10000 (65%)]: Time:0.72, TrainLoss: 0.9448, TrainAccu: 0.6700, TestLoss: 0.4972, TestAccu: 0.8780
epoch 2[7000/10000 (70%)]: Time:0.73, TrainLoss: 0.5183, TrainAccu: 0.7400, TestLoss: 0.4989, TestAccu: 0.8870
epoch 2[7500/10000 (75%)]: Time:0.75, TrainLoss: 0.6100, TrainAccu: 0.7300, TestLoss: 0.4945, TestAccu: 0.8790
epoch 2[8000/10000 (80%)]: Time:0.76, TrainLoss: 1.1875, TrainAccu: 0.5000, TestLoss: 0.4986, TestAccu: 0.8910
