epoch 1[0/10000 (0%)]: Time:0.03, TrainLoss: 1.4515, TrainAccu: 0.4000, TestLoss: 0.7230, TestAccu: 0.4920
epoch 1[500/10000 (5%)]: Time:0.09, TrainLoss: 1.0514, TrainAccu: 0.5000, TestLoss: 0.6337, TestAccu: 0.7330
epoch 1[1000/10000 (10%)]: Time:0.14, TrainLoss: 1.6881, TrainAccu: 0.5000, TestLoss: 0.5667, TestAccu: 0.8520
epoch 1[1500/10000 (15%)]: Time:0.19, TrainLoss: 0.4920, TrainAccu: 0.6000, TestLoss: 0.5441, TestAccu: 0.8610
epoch 1[2000/10000 (20%)]: Time:0.25, TrainLoss: 2.9561, TrainAccu: 0.5000, TestLoss: 0.5118, TestAccu: 0.8710
epoch 1[2500/10000 (25%)]: Time:0.30, TrainLoss: 0.4334, TrainAccu: 0.7000, TestLoss: 0.5033, TestAccu: 0.8890
epoch 1[3000/10000 (30%)]: Time:0.35, TrainLoss: 1.4689, TrainAccu: 0.4000, TestLoss: 0.4950, TestAccu: 0.8780
epoch 1[3500/10000 (35%)]: Time:0.40, TrainLoss: 0.7501, TrainAccu: 0.8000, TestLoss: 0.4837, TestAccu: 0.8870
epoch 1[4000/10000 (40%)]: Time:0.46, TrainLoss: 0.2928, TrainAccu: 0.9000, TestLoss: 0.4737, TestAccu: 0.8900
epoch 1[4500/10000 (45%)]: Time:0.51, TrainLoss: 0.1482, TrainAccu: 0.9000, TestLoss: 0.4685, TestAccu: 0.8970
epoch 1[5000/10000 (50%)]: Time:0.56, TrainLoss: 0.3068, TrainAccu: 0.9000, TestLoss: 0.4625, TestAccu: 0.8970
epoch 1[5500/10000 (55%)]: Time:0.61, TrainLoss: 0.2280, TrainAccu: 0.9000, TestLoss: 0.4563, TestAccu: 0.8920
epoch 1[6000/10000 (60%)]: Time:0.67, TrainLoss: 0.4448, TrainAccu: 0.7000, TestLoss: 0.4538, TestAccu: 0.8990
epoch 1[6500/10000 (65%)]: Time:0.72, TrainLoss: 0.6173, TrainAccu: 0.8000, TestLoss: 0.4564, TestAccu: 0.8940
epoch 1[7000/10000 (70%)]: Time:0.77, TrainLoss: 0.2611, TrainAccu: 0.9000, TestLoss: 0.4522, TestAccu: 0.8930
epoch 1[7500/10000 (75%)]: Time:0.82, TrainLoss: 0.5543, TrainAccu: 0.8000, TestLoss: 0.4493, TestAccu: 0.8940
epoch 1[8000/10000 (80%)]: Time:0.87, TrainLoss: 0.4064, TrainAccu: 0.8000, TestLoss: 0.4466, TestAccu: 0.9060
epoch 1[8500/10000 (85%)]: Time:0.93, TrainLoss: 0.2123, TrainAccu: 0.9000, TestLoss: 0.4467, TestAccu: 0.9000
epoch 1[9000/10000 (90%)]: Time:0.98, TrainLoss: 0.0562, TrainAccu: 1.0000, TestLoss: 0.4473, TestAccu: 0.8990
epoch 1[9500/10000 (95%)]: Time:1.03, TrainLoss: 0.4418, TrainAccu: 0.8000, TestLoss: 0.4475, TestAccu: 0.8980
epoch 2[0/10000 (0%)]: Time:1.12, TrainLoss: 0.2255, TrainAccu: 0.9000, TestLoss: 0.4414, TestAccu: 0.9030
epoch 2[500/10000 (5%)]: Time:1.18, TrainLoss: 0.1231, TrainAccu: 1.0000, TestLoss: 0.4371, TestAccu: 0.9030
epoch 2[1000/10000 (10%)]: Time:1.23, TrainLoss: 0.3030, TrainAccu: 0.9000, TestLoss: 0.4379, TestAccu: 0.8970
epoch 2[1500/10000 (15%)]: Time:1.28, TrainLoss: 0.9374, TrainAccu: 0.6000, TestLoss: 0.4366, TestAccu: 0.9020
epoch 2[2000/10000 (20%)]: Time:1.34, TrainLoss: 0.1394, TrainAccu: 1.0000, TestLoss: 0.4378, TestAccu: 0.8990
epoch 2[2500/10000 (25%)]: Time:1.39, TrainLoss: 0.1570, TrainAccu: 1.0000, TestLoss: 0.4378, TestAccu: 0.8980
epoch 2[3000/10000 (30%)]: Time:1.44, TrainLoss: 0.6183, TrainAccu: 0.7000, TestLoss: 0.4367, TestAccu: 0.9010
epoch 2[3500/10000 (35%)]: Time:1.49, TrainLoss: 0.0745, TrainAccu: 1.0000, TestLoss: 0.4361, TestAccu: 0.9030
epoch 2[4000/10000 (40%)]: Time:1.54, TrainLoss: 0.5192, TrainAccu: 0.9000, TestLoss: 0.4349, TestAccu: 0.9020
epoch 2[4500/10000 (45%)]: Time:1.60, TrainLoss: 0.4806, TrainAccu: 0.7000, TestLoss: 0.4352, TestAccu: 0.9030
epoch 2[5000/10000 (50%)]: Time:1.65, TrainLoss: 1.3535, TrainAccu: 0.6000, TestLoss: 0.4403, TestAccu: 0.8880
epoch 2[5500/10000 (55%)]: Time:1.70, TrainLoss: 1.1278, TrainAccu: 0.6000, TestLoss: 0.4410, TestAccu: 0.8780
epoch 2[6000/10000 (60%)]: Time:1.75, TrainLoss: 0.3907, TrainAccu: 0.9000, TestLoss: 0.4323, TestAccu: 0.9020
