iteration 1: Time:0.01, TrainLoss: 0.7338, TrainAccu: 0.2670, TestLoss: 0.7430, TestAccu: 0.3320
iteration 2: Time:0.01, TrainLoss: 0.7285, TrainAccu: 0.3088, TestLoss: 0.7383, TestAccu: 0.3840
iteration 3: Time:0.02, TrainLoss: 0.7283, TrainAccu: 0.3113, TestLoss: 0.7381, TestAccu: 0.3850
iteration 4: Time:0.03, TrainLoss: 0.7272, TrainAccu: 0.3207, TestLoss: 0.7369, TestAccu: 0.3910
iteration 5: Time:0.04, TrainLoss: 0.7248, TrainAccu: 0.3390, TestLoss: 0.7342, TestAccu: 0.4020
iteration 6: Time:0.04, TrainLoss: 0.7212, TrainAccu: 0.3703, TestLoss: 0.7302, TestAccu: 0.4120
iteration 7: Time:0.05, TrainLoss: 0.7167, TrainAccu: 0.4040, TestLoss: 0.7252, TestAccu: 0.4310
iteration 8: Time:0.06, TrainLoss: 0.7116, TrainAccu: 0.4310, TestLoss: 0.7195, TestAccu: 0.4560
iteration 9: Time:0.06, TrainLoss: 0.7061, TrainAccu: 0.4655, TestLoss: 0.7134, TestAccu: 0.4870
iteration 10: Time:0.07, TrainLoss: 0.7003, TrainAccu: 0.4965, TestLoss: 0.7070, TestAccu: 0.5040
iteration 11: Time:0.08, TrainLoss: 0.6950, TrainAccu: 0.5270, TestLoss: 0.7012, TestAccu: 0.5340
iteration 12: Time:0.08, TrainLoss: 0.6896, TrainAccu: 0.5607, TestLoss: 0.6952, TestAccu: 0.5630
iteration 13: Time:0.09, TrainLoss: 0.6841, TrainAccu: 0.5952, TestLoss: 0.6890, TestAccu: 0.5860
iteration 14: Time:0.10, TrainLoss: 0.6771, TrainAccu: 0.6318, TestLoss: 0.6814, TestAccu: 0.6100
iteration 15: Time:0.11, TrainLoss: 0.6719, TrainAccu: 0.6593, TestLoss: 0.6757, TestAccu: 0.6280
iteration 16: Time:0.11, TrainLoss: 0.6668, TrainAccu: 0.6873, TestLoss: 0.6700, TestAccu: 0.6500
iteration 17: Time:0.12, TrainLoss: 0.6617, TrainAccu: 0.7053, TestLoss: 0.6643, TestAccu: 0.6790
iteration 18: Time:0.13, TrainLoss: 0.6557, TrainAccu: 0.7398, TestLoss: 0.6578, TestAccu: 0.7090
iteration 19: Time:0.13, TrainLoss: 0.6507, TrainAccu: 0.7602, TestLoss: 0.6523, TestAccu: 0.7430
iteration 20: Time:0.14, TrainLoss: 0.6459, TrainAccu: 0.7815, TestLoss: 0.6469, TestAccu: 0.7560
iteration 21: Time:0.15, TrainLoss: 0.6410, TrainAccu: 0.7925, TestLoss: 0.6416, TestAccu: 0.7790
iteration 22: Time:0.16, TrainLoss: 0.6360, TrainAccu: 0.8097, TestLoss: 0.6361, TestAccu: 0.8010
iteration 23: Time:0.16, TrainLoss: 0.6313, TrainAccu: 0.8175, TestLoss: 0.6309, TestAccu: 0.8110
iteration 24: Time:0.17, TrainLoss: 0.6266, TrainAccu: 0.8250, TestLoss: 0.6258, TestAccu: 0.8230
iteration 25: Time:0.18, TrainLoss: 0.6217, TrainAccu: 0.8300, TestLoss: 0.6204, TestAccu: 0.8330
iteration 26: Time:0.19, TrainLoss: 0.6167, TrainAccu: 0.8375, TestLoss: 0.6150, TestAccu: 0.8560
iteration 27: Time:0.19, TrainLoss: 0.6121, TrainAccu: 0.8427, TestLoss: 0.6101, TestAccu: 0.8620
iteration 28: Time:0.20, TrainLoss: 0.6076, TrainAccu: 0.8502, TestLoss: 0.6052, TestAccu: 0.8680
iteration 29: Time:0.21, TrainLoss: 0.6031, TrainAccu: 0.8535, TestLoss: 0.6003, TestAccu: 0.8740
iteration 30: Time:0.21, TrainLoss: 0.5986, TrainAccu: 0.8562, TestLoss: 0.5955, TestAccu: 0.8820
iteration 31: Time:0.22, TrainLoss: 0.5944, TrainAccu: 0.8592, TestLoss: 0.5910, TestAccu: 0.8850
iteration 32: Time:0.23, TrainLoss: 0.5903, TrainAccu: 0.8612, TestLoss: 0.5866, TestAccu: 0.8840
iteration 33: Time:0.24, TrainLoss: 0.5862, TrainAccu: 0.8618, TestLoss: 0.5822, TestAccu: 0.8880
iteration 34: Time:0.24, TrainLoss: 0.5821, TrainAccu: 0.8632, TestLoss: 0.5778, TestAccu: 0.8920
iteration 35: Time:0.25, TrainLoss: 0.5781, TrainAccu: 0.8648, TestLoss: 0.5735, TestAccu: 0.8910
iteration 36: Time:0.26, TrainLoss: 0.5740, TrainAccu: 0.8658, TestLoss: 0.5693, TestAccu: 0.8920
iteration 37: Time:0.26, TrainLoss: 0.5700, TrainAccu: 0.8660, TestLoss: 0.5650, TestAccu: 0.8940
iteration 38: Time:0.27, TrainLoss: 0.5660, TrainAccu: 0.8688, TestLoss: 0.5609, TestAccu: 0.8940
iteration 39: Time:0.28, TrainLoss: 0.5620, TrainAccu: 0.8700, TestLoss: 0.5566, TestAccu: 0.8930
iteration 40: Time:0.29, TrainLoss: 0.5581, TrainAccu: 0.8718, TestLoss: 0.5525, TestAccu: 0.8920
iteration 41: Time:0.29, TrainLoss: 0.5540, TrainAccu: 0.8705, TestLoss: 0.5482, TestAccu: 0.8960
iteration 42: Time:0.30, TrainLoss: 0.5503, TrainAccu: 0.8718, TestLoss: 0.5443, TestAccu: 0.8950
iteration 43: Time:0.31, TrainLoss: 0.5467, TrainAccu: 0.8730, TestLoss: 0.5406, TestAccu: 0.8970
iteration 44: Time:0.31, TrainLoss: 0.5431, TrainAccu: 0.8745, TestLoss: 0.5369, TestAccu: 0.9000
iteration 45: Time:0.32, TrainLoss: 0.5397, TrainAccu: 0.8755, TestLoss: 0.5333, TestAccu: 0.8980
iteration 46: Time:0.33, TrainLoss: 0.5361, TrainAccu: 0.8765, TestLoss: 0.5297, TestAccu: 0.8980
iteration 47: Time:0.34, TrainLoss: 0.5328, TrainAccu: 0.8768, TestLoss: 0.5262, TestAccu: 0.8970
iteration 48: Time:0.34, TrainLoss: 0.5294, TrainAccu: 0.8765, TestLoss: 0.5229, TestAccu: 0.8970
iteration 49: Time:0.35, TrainLoss: 0.5262, TrainAccu: 0.8772, TestLoss: 0.5196, TestAccu: 0.8970
iteration 50: Time:0.36, TrainLoss: 0.5230, TrainAccu: 0.8768, TestLoss: 0.5164, TestAccu: 0.8970
iteration 51: Time:0.37, TrainLoss: 0.5198, TrainAccu: 0.8772, TestLoss: 0.5131, TestAccu: 0.8970
iteration 52: Time:0.37, TrainLoss: 0.5164, TrainAccu: 0.8752, TestLoss: 0.5098, TestAccu: 0.8970
iteration 53: Time:0.38, TrainLoss: 0.5133, TrainAccu: 0.8762, TestLoss: 0.5067, TestAccu: 0.8940
iteration 54: Time:0.39, TrainLoss: 0.5103, TrainAccu: 0.8772, TestLoss: 0.5037, TestAccu: 0.8940
iteration 55: Time:0.39, TrainLoss: 0.5073, TrainAccu: 0.8782, TestLoss: 0.5006, TestAccu: 0.8940
iteration 56: Time:0.40, TrainLoss: 0.5042, TrainAccu: 0.8788, TestLoss: 0.4976, TestAccu: 0.8950
