epoch 1[0/10000 (0%)]: Time:0.03, TrainLoss: 0.6467, TrainAccu: 0.6000, TestLoss: 0.6907, TestAccu: 0.5370
epoch 1[500/10000 (5%)]: Time:0.08, TrainLoss: 0.7254, TrainAccu: 0.4000, TestLoss: 0.6737, TestAccu: 0.6630
epoch 1[1000/10000 (10%)]: Time:0.13, TrainLoss: 0.6447, TrainAccu: 0.7000, TestLoss: 0.6587, TestAccu: 0.7590
epoch 1[1500/10000 (15%)]: Time:0.18, TrainLoss: 0.5995, TrainAccu: 0.4000, TestLoss: 0.6478, TestAccu: 0.8060
epoch 1[2000/10000 (20%)]: Time:0.23, TrainLoss: 0.4428, TrainAccu: 0.9000, TestLoss: 0.6373, TestAccu: 0.8380
epoch 1[2500/10000 (25%)]: Time:0.28, TrainLoss: 0.6245, TrainAccu: 0.5000, TestLoss: 0.6263, TestAccu: 0.8460
epoch 1[3000/10000 (30%)]: Time:0.33, TrainLoss: 0.6541, TrainAccu: 0.7000, TestLoss: 0.6188, TestAccu: 0.8590
epoch 1[3500/10000 (35%)]: Time:0.38, TrainLoss: 0.4324, TrainAccu: 0.8000, TestLoss: 0.6114, TestAccu: 0.8580
epoch 1[4000/10000 (40%)]: Time:0.43, TrainLoss: 0.5127, TrainAccu: 0.8000, TestLoss: 0.6044, TestAccu: 0.8670
epoch 1[4500/10000 (45%)]: Time:0.48, TrainLoss: 0.5932, TrainAccu: 0.7000, TestLoss: 0.5964, TestAccu: 0.8630
epoch 1[5000/10000 (50%)]: Time:0.53, TrainLoss: 0.3299, TrainAccu: 0.9000, TestLoss: 0.5926, TestAccu: 0.8770
epoch 1[5500/10000 (55%)]: Time:0.58, TrainLoss: 0.5981, TrainAccu: 0.7000, TestLoss: 0.5885, TestAccu: 0.8820
epoch 1[6000/10000 (60%)]: Time:0.63, TrainLoss: 0.3458, TrainAccu: 1.0000, TestLoss: 0.5833, TestAccu: 0.8780
epoch 1[6500/10000 (65%)]: Time:0.68, TrainLoss: 0.3155, TrainAccu: 0.9000, TestLoss: 0.5769, TestAccu: 0.8730
epoch 1[7000/10000 (70%)]: Time:0.73, TrainLoss: 0.3476, TrainAccu: 0.8000, TestLoss: 0.5737, TestAccu: 0.8760
