epoch 1[0/10000 (0%)]: Time:0.05, TrainLoss: 0.7795, TrainAccu: 0.4200, TestLoss: 0.7080, TestAccu: 0.3720
epoch 1[100/10000 (1%)]: Time:0.07, TrainLoss: 0.7350, TrainAccu: 0.2900, TestLoss: 0.7077, TestAccu: 0.3770
epoch 1[2500/10000 (25%)]: Time:0.17, TrainLoss: 0.7172, TrainAccu: 0.4600, TestLoss: 0.7035, TestAccu: 0.4050
epoch 1[5000/10000 (50%)]: Time:0.29, TrainLoss: 0.6923, TrainAccu: 0.5700, TestLoss: 0.6984, TestAccu: 0.4470
epoch 1[7500/10000 (75%)]: Time:0.37, TrainLoss: 0.6915, TrainAccu: 0.5100, TestLoss: 0.6946, TestAccu: 0.4780
epoch 2[0/10000 (0%)]: Time:0.49, TrainLoss: 0.6567, TrainAccu: 0.6900, TestLoss: 0.6901, TestAccu: 0.5210
epoch 2[100/10000 (1%)]: Time:0.50, TrainLoss: 0.6696, TrainAccu: 0.6200, TestLoss: 0.6899, TestAccu: 0.5230
epoch 2[2500/10000 (25%)]: Time:0.57, TrainLoss: 0.6614, TrainAccu: 0.6800, TestLoss: 0.6860, TestAccu: 0.5660
epoch 2[5000/10000 (50%)]: Time:0.63, TrainLoss: 0.6362, TrainAccu: 0.7100, TestLoss: 0.6821, TestAccu: 0.6010
epoch 2[7500/10000 (75%)]: Time:0.70, TrainLoss: 0.6266, TrainAccu: 0.7200, TestLoss: 0.6788, TestAccu: 0.6270
epoch 3[0/10000 (0%)]: Time:0.81, TrainLoss: 0.5986, TrainAccu: 0.7700, TestLoss: 0.6747, TestAccu: 0.6530
epoch 3[100/10000 (1%)]: Time:0.82, TrainLoss: 0.6271, TrainAccu: 0.7400, TestLoss: 0.6747, TestAccu: 0.6580
epoch 3[2500/10000 (25%)]: Time:0.92, TrainLoss: 0.6061, TrainAccu: 0.7100, TestLoss: 0.6712, TestAccu: 0.6750
epoch 3[5000/10000 (50%)]: Time:1.01, TrainLoss: 0.6347, TrainAccu: 0.7000, TestLoss: 0.6682, TestAccu: 0.6950
epoch 3[7500/10000 (75%)]: Time:1.10, TrainLoss: 0.6196, TrainAccu: 0.7800, TestLoss: 0.6649, TestAccu: 0.7150
epoch 4[0/10000 (0%)]: Time:1.31, TrainLoss: 0.5890, TrainAccu: 0.7200, TestLoss: 0.6621, TestAccu: 0.7280
epoch 4[100/10000 (1%)]: Time:1.32, TrainLoss: 0.6039, TrainAccu: 0.7500, TestLoss: 0.6617, TestAccu: 0.7310
epoch 4[2500/10000 (25%)]: Time:1.38, TrainLoss: 0.5887, TrainAccu: 0.7700, TestLoss: 0.6590, TestAccu: 0.7390
epoch 4[5000/10000 (50%)]: Time:1.44, TrainLoss: 0.5474, TrainAccu: 0.8600, TestLoss: 0.6562, TestAccu: 0.7540
epoch 4[7500/10000 (75%)]: Time:1.50, TrainLoss: 0.5584, TrainAccu: 0.7900, TestLoss: 0.6531, TestAccu: 0.7650
epoch 5[0/10000 (0%)]: Time:1.72, TrainLoss: 0.5194, TrainAccu: 0.9000, TestLoss: 0.6506, TestAccu: 0.7800
epoch 5[100/10000 (1%)]: Time:1.74, TrainLoss: 0.5527, TrainAccu: 0.7900, TestLoss: 0.6506, TestAccu: 0.7830
epoch 5[2500/10000 (25%)]: Time:1.83, TrainLoss: 0.5336, TrainAccu: 0.8300, TestLoss: 0.6479, TestAccu: 0.7920
epoch 5[5000/10000 (50%)]: Time:1.95, TrainLoss: 0.5642, TrainAccu: 0.8000, TestLoss: 0.6454, TestAccu: 0.8010
epoch 5[7500/10000 (75%)]: Time:2.06, TrainLoss: 0.5278, TrainAccu: 0.8300, TestLoss: 0.6431, TestAccu: 0.8050
epoch 6[0/10000 (0%)]: Time:2.21, TrainLoss: 0.5330, TrainAccu: 0.8000, TestLoss: 0.6410, TestAccu: 0.8110
epoch 6[100/10000 (1%)]: Time:2.22, TrainLoss: 0.5148, TrainAccu: 0.8100, TestLoss: 0.6407, TestAccu: 0.8100
epoch 6[2500/10000 (25%)]: Time:2.28, TrainLoss: 0.5173, TrainAccu: 0.8400, TestLoss: 0.6386, TestAccu: 0.8120
epoch 6[5000/10000 (50%)]: Time:2.34, TrainLoss: 0.5080, TrainAccu: 0.8500, TestLoss: 0.6363, TestAccu: 0.8170
