iteration 1: Time:0.03, TrainLoss: 1.1703, TrainAccu: 0.5000, TestLoss: 0.6940, TestAccu: 0.4880
iteration 25: Time:0.81, TrainLoss: 0.6776, TrainAccu: 0.5805, TestLoss: 0.6842, TestAccu: 0.6010
iteration 50: Time:1.68, TrainLoss: 0.6491, TrainAccu: 0.7021, TestLoss: 0.6761, TestAccu: 0.6970
iteration 75: Time:2.61, TrainLoss: 0.6238, TrainAccu: 0.7643, TestLoss: 0.6687, TestAccu: 0.7600
iteration 100: Time:3.50, TrainLoss: 0.6014, TrainAccu: 0.7965, TestLoss: 0.6617, TestAccu: 0.8020
iteration 125: Time:4.39, TrainLoss: 0.5814, TrainAccu: 0.8133, TestLoss: 0.6553, TestAccu: 0.8300
iteration 150: Time:5.32, TrainLoss: 0.5636, TrainAccu: 0.8257, TestLoss: 0.6493, TestAccu: 0.8470
iteration 175: Time:6.13, TrainLoss: 0.5476, TrainAccu: 0.8313, TestLoss: 0.6438, TestAccu: 0.8510
iteration 200: Time:6.92, TrainLoss: 0.5332, TrainAccu: 0.8387, TestLoss: 0.6385, TestAccu: 0.8580
iteration 225: Time:7.71, TrainLoss: 0.5202, TrainAccu: 0.8429, TestLoss: 0.6337, TestAccu: 0.8640
iteration 250: Time:8.51, TrainLoss: 0.5084, TrainAccu: 0.8448, TestLoss: 0.6291, TestAccu: 0.8700
iteration 275: Time:9.30, TrainLoss: 0.4978, TrainAccu: 0.8471, TestLoss: 0.6248, TestAccu: 0.8740
iteration 300: Time:10.09, TrainLoss: 0.4880, TrainAccu: 0.8492, TestLoss: 0.6207, TestAccu: 0.8750
iteration 325: Time:10.89, TrainLoss: 0.4791, TrainAccu: 0.8510, TestLoss: 0.6169, TestAccu: 0.8760
iteration 350: Time:11.68, TrainLoss: 0.4709, TrainAccu: 0.8527, TestLoss: 0.6132, TestAccu: 0.8790
iteration 375: Time:12.47, TrainLoss: 0.4634, TrainAccu: 0.8540, TestLoss: 0.6098, TestAccu: 0.8800
iteration 400: Time:13.26, TrainLoss: 0.4565, TrainAccu: 0.8548, TestLoss: 0.6065, TestAccu: 0.8800
iteration 425: Time:14.06, TrainLoss: 0.4501, TrainAccu: 0.8555, TestLoss: 0.6034, TestAccu: 0.8820
