iteration 1: Time:0.03, TrainLoss: 0.9470, TrainAccu: 0.5000, TestLoss: 0.7331, TestAccu: 0.4930
iteration 25: Time:0.80, TrainLoss: 6.7556, TrainAccu: 0.5000, TestLoss: 0.6345, TestAccu: 0.8460
iteration 50: Time:1.59, TrainLoss: 1.9363, TrainAccu: 0.5000, TestLoss: 0.5679, TestAccu: 0.6740
iteration 75: Time:2.38, TrainLoss: 5.1845, TrainAccu: 0.5000, TestLoss: 0.5126, TestAccu: 0.8840
iteration 100: Time:3.18, TrainLoss: 2.5227, TrainAccu: 0.5025, TestLoss: 0.4718, TestAccu: 0.8610
iteration 125: Time:3.97, TrainLoss: 3.3042, TrainAccu: 0.5001, TestLoss: 0.4367, TestAccu: 0.8820
iteration 150: Time:4.77, TrainLoss: 2.5698, TrainAccu: 0.5366, TestLoss: 0.4117, TestAccu: 0.8740
iteration 175: Time:5.56, TrainLoss: 1.6627, TrainAccu: 0.6019, TestLoss: 0.3932, TestAccu: 0.8920
iteration 200: Time:6.35, TrainLoss: 0.5295, TrainAccu: 0.8372, TestLoss: 0.3868, TestAccu: 0.8870
iteration 225: Time:7.15, TrainLoss: 0.4332, TrainAccu: 0.8603, TestLoss: 0.3890, TestAccu: 0.8920
iteration 250: Time:7.95, TrainLoss: 0.4172, TrainAccu: 0.8638, TestLoss: 0.3921, TestAccu: 0.8930
iteration 275: Time:8.73, TrainLoss: 0.4025, TrainAccu: 0.8661, TestLoss: 0.3956, TestAccu: 0.8940
iteration 300: Time:9.53, TrainLoss: 0.3893, TrainAccu: 0.8690, TestLoss: 0.3993, TestAccu: 0.8950
iteration 325: Time:10.32, TrainLoss: 0.3773, TrainAccu: 0.8711, TestLoss: 0.4031, TestAccu: 0.8970
iteration 350: Time:11.12, TrainLoss: 0.3664, TrainAccu: 0.8738, TestLoss: 0.4072, TestAccu: 0.8980
iteration 375: Time:11.91, TrainLoss: 0.3581, TrainAccu: 0.8757, TestLoss: 0.4109, TestAccu: 0.9010
iteration 400: Time:12.70, TrainLoss: 2.3411, TrainAccu: 0.5443, TestLoss: 0.4169, TestAccu: 0.8900
iteration 425: Time:13.50, TrainLoss: 1.5402, TrainAccu: 0.6222, TestLoss: 0.3820, TestAccu: 0.8990
iteration 450: Time:14.31, TrainLoss: 0.4751, TrainAccu: 0.8505, TestLoss: 0.3848, TestAccu: 0.8980
iteration 475: Time:15.10, TrainLoss: 0.3877, TrainAccu: 0.8768, TestLoss: 0.3867, TestAccu: 0.8990
iteration 500: Time:15.90, TrainLoss: 0.3772, TrainAccu: 0.8782, TestLoss: 0.3905, TestAccu: 0.8980
iteration 525: Time:16.70, TrainLoss: 0.3676, TrainAccu: 0.8800, TestLoss: 0.3944, TestAccu: 0.8970
iteration 550: Time:17.49, TrainLoss: 0.3587, TrainAccu: 0.8805, TestLoss: 0.3983, TestAccu: 0.8980
iteration 575: Time:18.30, TrainLoss: 0.3506, TrainAccu: 0.8817, TestLoss: 0.4023, TestAccu: 0.8980
iteration 600: Time:19.11, TrainLoss: 0.3432, TrainAccu: 0.8820, TestLoss: 0.4062, TestAccu: 0.8980
iteration 625: Time:20.02, TrainLoss: 0.3364, TrainAccu: 0.8832, TestLoss: 0.4100, TestAccu: 0.8980
iteration 650: Time:20.86, TrainLoss: 0.3303, TrainAccu: 0.8841, TestLoss: 0.4137, TestAccu: 0.8980
iteration 675: Time:21.66, TrainLoss: 2.4824, TrainAccu: 0.5287, TestLoss: 0.4024, TestAccu: 0.9100
iteration 700: Time:22.46, TrainLoss: 1.8711, TrainAccu: 0.5965, TestLoss: 0.4100, TestAccu: 0.8780
iteration 725: Time:23.26, TrainLoss: 0.8686, TrainAccu: 0.7340, TestLoss: 0.3770, TestAccu: 0.9060
iteration 750: Time:24.04, TrainLoss: 0.3651, TrainAccu: 0.8824, TestLoss: 0.3859, TestAccu: 0.8990
iteration 775: Time:24.84, TrainLoss: 0.3569, TrainAccu: 0.8838, TestLoss: 0.3896, TestAccu: 0.8990
iteration 800: Time:25.64, TrainLoss: 0.3494, TrainAccu: 0.8846, TestLoss: 0.3933, TestAccu: 0.9000
iteration 825: Time:26.43, TrainLoss: 0.3424, TrainAccu: 0.8852, TestLoss: 0.3970, TestAccu: 0.8990
iteration 850: Time:27.22, TrainLoss: 0.3360, TrainAccu: 0.8869, TestLoss: 0.4006, TestAccu: 0.8970
iteration 875: Time:28.02, TrainLoss: 0.3301, TrainAccu: 0.8875, TestLoss: 0.4041, TestAccu: 0.8970
iteration 900: Time:28.89, TrainLoss: 0.3247, TrainAccu: 0.8878, TestLoss: 0.4075, TestAccu: 0.8930
iteration 925: Time:29.78, TrainLoss: 0.3197, TrainAccu: 0.8887, TestLoss: 0.4107, TestAccu: 0.8920
iteration 950: Time:30.58, TrainLoss: 0.3152, TrainAccu: 0.8891, TestLoss: 0.4137, TestAccu: 0.8910
iteration 975: Time:31.37, TrainLoss: 0.7465, TrainAccu: 0.7628, TestLoss: 0.4282, TestAccu: 0.8620
iteration 1000: Time:32.17, TrainLoss: 1.9254, TrainAccu: 0.5812, TestLoss: 0.3830, TestAccu: 0.9100
iteration 1025: Time:32.96, TrainLoss: 1.0184, TrainAccu: 0.7337, TestLoss: 0.3943, TestAccu: 0.8880
iteration 1050: Time:33.76, TrainLoss: 0.3481, TrainAccu: 0.8877, TestLoss: 0.3849, TestAccu: 0.9010
iteration 1075: Time:34.55, TrainLoss: 0.3411, TrainAccu: 0.8880, TestLoss: 0.3886, TestAccu: 0.8980
iteration 1100: Time:35.34, TrainLoss: 0.3349, TrainAccu: 0.8883, TestLoss: 0.3920, TestAccu: 0.8980
iteration 1125: Time:36.13, TrainLoss: 0.3290, TrainAccu: 0.8896, TestLoss: 0.3954, TestAccu: 0.8950
iteration 1150: Time:36.92, TrainLoss: 0.3237, TrainAccu: 0.8908, TestLoss: 0.3987, TestAccu: 0.8930
iteration 1175: Time:37.71, TrainLoss: 0.3187, TrainAccu: 0.8913, TestLoss: 0.4019, TestAccu: 0.8920
iteration 1200: Time:38.50, TrainLoss: 0.3142, TrainAccu: 0.8924, TestLoss: 0.4049, TestAccu: 0.8930
iteration 1225: Time:39.30, TrainLoss: 0.3099, TrainAccu: 0.8926, TestLoss: 0.4078, TestAccu: 0.8900
iteration 1250: Time:40.09, TrainLoss: 0.3060, TrainAccu: 0.8930, TestLoss: 0.4105, TestAccu: 0.8870
iteration 1275: Time:40.92, TrainLoss: 0.3024, TrainAccu: 0.8932, TestLoss: 0.4131, TestAccu: 0.8850
iteration 1300: Time:41.75, TrainLoss: 0.6752, TrainAccu: 0.7740, TestLoss: 0.4267, TestAccu: 0.8560
iteration 1325: Time:42.75, TrainLoss: 1.9188, TrainAccu: 0.5830, TestLoss: 0.3808, TestAccu: 0.9130
iteration 1350: Time:43.71, TrainLoss: 1.0106, TrainAccu: 0.7337, TestLoss: 0.3932, TestAccu: 0.8880
iteration 1375: Time:44.55, TrainLoss: 0.3347, TrainAccu: 0.8909, TestLoss: 0.3827, TestAccu: 0.9000
iteration 1400: Time:45.40, TrainLoss: 0.3285, TrainAccu: 0.8926, TestLoss: 0.3862, TestAccu: 0.8990
iteration 1425: Time:46.24, TrainLoss: 0.3230, TrainAccu: 0.8927, TestLoss: 0.3895, TestAccu: 0.8990
iteration 1450: Time:47.14, TrainLoss: 0.3180, TrainAccu: 0.8931, TestLoss: 0.3927, TestAccu: 0.8960
iteration 1475: Time:48.12, TrainLoss: 0.3133, TrainAccu: 0.8936, TestLoss: 0.3957, TestAccu: 0.8940
