epoch 1[0/10000 (0%)]: Time:0.04, TrainLoss: 0.9788, TrainAccu: 0.4400, TestLoss: 0.7190, TestAccu: 0.4990
epoch 1[100/10000 (1%)]: Time:0.05, TrainLoss: 5.6174, TrainAccu: 0.5000, TestLoss: 0.6752, TestAccu: 0.5270
epoch 1[2500/10000 (25%)]: Time:0.11, TrainLoss: 2.5583, TrainAccu: 0.4700, TestLoss: 0.6113, TestAccu: 0.5350
epoch 1[5000/10000 (50%)]: Time:0.17, TrainLoss: 3.0663, TrainAccu: 0.6100, TestLoss: 0.5546, TestAccu: 0.8600
epoch 1[7500/10000 (75%)]: Time:0.24, TrainLoss: 2.9251, TrainAccu: 0.5100, TestLoss: 0.5038, TestAccu: 0.8410
epoch 2[0/10000 (0%)]: Time:0.35, TrainLoss: 3.6841, TrainAccu: 0.5400, TestLoss: 0.4656, TestAccu: 0.8820
epoch 2[100/10000 (1%)]: Time:0.36, TrainLoss: 1.6716, TrainAccu: 0.5900, TestLoss: 0.4659, TestAccu: 0.8630
epoch 2[2500/10000 (25%)]: Time:0.42, TrainLoss: 2.2640, TrainAccu: 0.5300, TestLoss: 0.4389, TestAccu: 0.8720
epoch 2[5000/10000 (50%)]: Time:0.50, TrainLoss: 3.6817, TrainAccu: 0.5400, TestLoss: 0.4131, TestAccu: 0.8850
epoch 2[7500/10000 (75%)]: Time:0.60, TrainLoss: 0.4291, TrainAccu: 0.8800, TestLoss: 0.4040, TestAccu: 0.8820
epoch 3[0/10000 (0%)]: Time:0.80, TrainLoss: 1.4072, TrainAccu: 0.5700, TestLoss: 0.3939, TestAccu: 0.8860
epoch 3[100/10000 (1%)]: Time:0.82, TrainLoss: 2.0892, TrainAccu: 0.5500, TestLoss: 0.3970, TestAccu: 0.8770
epoch 3[2500/10000 (25%)]: Time:0.93, TrainLoss: 1.0903, TrainAccu: 0.7300, TestLoss: 0.3826, TestAccu: 0.8820
epoch 3[5000/10000 (50%)]: Time:1.04, TrainLoss: 0.6643, TrainAccu: 0.7900, TestLoss: 0.3819, TestAccu: 0.8830
epoch 3[7500/10000 (75%)]: Time:1.13, TrainLoss: 0.3729, TrainAccu: 0.8800, TestLoss: 0.3828, TestAccu: 0.8840
epoch 4[0/10000 (0%)]: Time:1.30, TrainLoss: 0.5982, TrainAccu: 0.8500, TestLoss: 0.3811, TestAccu: 0.8900
epoch 4[100/10000 (1%)]: Time:1.31, TrainLoss: 0.5231, TrainAccu: 0.8400, TestLoss: 0.3834, TestAccu: 0.8860
epoch 4[2500/10000 (25%)]: Time:1.37, TrainLoss: 1.0483, TrainAccu: 0.7700, TestLoss: 0.3861, TestAccu: 0.8900
epoch 4[5000/10000 (50%)]: Time:1.44, TrainLoss: 0.4801, TrainAccu: 0.8500, TestLoss: 0.3851, TestAccu: 0.8900
epoch 4[7500/10000 (75%)]: Time:1.50, TrainLoss: 1.8068, TrainAccu: 0.6400, TestLoss: 0.3885, TestAccu: 0.8870
epoch 5[0/10000 (0%)]: Time:1.61, TrainLoss: 0.3692, TrainAccu: 0.8500, TestLoss: 0.3803, TestAccu: 0.8900
epoch 5[100/10000 (1%)]: Time:1.62, TrainLoss: 0.4292, TrainAccu: 0.9100, TestLoss: 0.3813, TestAccu: 0.8920
epoch 5[2500/10000 (25%)]: Time:1.68, TrainLoss: 0.7023, TrainAccu: 0.7900, TestLoss: 0.3824, TestAccu: 0.8930
epoch 5[5000/10000 (50%)]: Time:1.74, TrainLoss: 0.9869, TrainAccu: 0.7400, TestLoss: 0.3878, TestAccu: 0.8920
