epoch 1[0/10000 (0%)]: Time:0.03, TrainLoss: 5.4166, TrainAccu: 0.0000, TestLoss: 0.7760, TestAccu: 0.5000
epoch 1[500/10000 (5%)]: Time:0.51, TrainLoss: 0.0229, TrainAccu: 1.0000, TestLoss: 0.3223, TestAccu: 0.8910
epoch 1[1000/10000 (10%)]: Time:0.99, TrainLoss: 0.3421, TrainAccu: 1.0000, TestLoss: 0.3349, TestAccu: 0.8950
epoch 1[1500/10000 (15%)]: Time:1.46, TrainLoss: 0.0062, TrainAccu: 1.0000, TestLoss: 0.3161, TestAccu: 0.8980
epoch 1[2000/10000 (20%)]: Time:1.94, TrainLoss: 0.0072, TrainAccu: 1.0000, TestLoss: 0.3415, TestAccu: 0.8980
epoch 1[2500/10000 (25%)]: Time:2.42, TrainLoss: 0.0083, TrainAccu: 1.0000, TestLoss: 0.3529, TestAccu: 0.8990
epoch 1[3000/10000 (30%)]: Time:2.90, TrainLoss: 0.0372, TrainAccu: 1.0000, TestLoss: 0.3634, TestAccu: 0.8980
epoch 1[3500/10000 (35%)]: Time:3.40, TrainLoss: 15.1707, TrainAccu: 0.0000, TestLoss: 0.3846, TestAccu: 0.8870
epoch 1[4000/10000 (40%)]: Time:3.87, TrainLoss: 0.0096, TrainAccu: 1.0000, TestLoss: 0.3527, TestAccu: 0.8950
epoch 1[4500/10000 (45%)]: Time:4.33, TrainLoss: 14.4632, TrainAccu: 0.0000, TestLoss: 0.3582, TestAccu: 0.8980
epoch 1[5000/10000 (50%)]: Time:4.81, TrainLoss: 0.0111, TrainAccu: 1.0000, TestLoss: 0.3426, TestAccu: 0.9000
epoch 1[5500/10000 (55%)]: Time:5.29, TrainLoss: 31.0464, TrainAccu: 0.0000, TestLoss: 0.3612, TestAccu: 0.9010
epoch 1[6000/10000 (60%)]: Time:5.76, TrainLoss: 0.0123, TrainAccu: 1.0000, TestLoss: 0.3502, TestAccu: 0.9040
epoch 1[6500/10000 (65%)]: Time:6.22, TrainLoss: 0.0128, TrainAccu: 1.0000, TestLoss: 0.3379, TestAccu: 0.9070
epoch 1[7000/10000 (70%)]: Time:6.69, TrainLoss: 0.0133, TrainAccu: 1.0000, TestLoss: 0.3476, TestAccu: 0.9070
epoch 1[7500/10000 (75%)]: Time:7.16, TrainLoss: 0.0141, TrainAccu: 1.0000, TestLoss: 0.3314, TestAccu: 0.9110
epoch 1[8000/10000 (80%)]: Time:7.65, TrainLoss: 4.2056, TrainAccu: 0.0000, TestLoss: 0.3066, TestAccu: 0.9120
epoch 1[8500/10000 (85%)]: Time:8.13, TrainLoss: 0.0151, TrainAccu: 1.0000, TestLoss: 0.3515, TestAccu: 0.9080
epoch 1[9000/10000 (90%)]: Time:8.61, TrainLoss: 0.0165, TrainAccu: 1.0000, TestLoss: 0.3345, TestAccu: 0.9070
epoch 1[9500/10000 (95%)]: Time:9.10, TrainLoss: 0.0164, TrainAccu: 1.0000, TestLoss: 0.3881, TestAccu: 0.9090
epoch 2[0/10000 (0%)]: Time:9.70, TrainLoss: 0.0168, TrainAccu: 1.0000, TestLoss: 0.3381, TestAccu: 0.9130
epoch 2[500/10000 (5%)]: Time:10.25, TrainLoss: 0.0165, TrainAccu: 1.0000, TestLoss: 0.3423, TestAccu: 0.9110
epoch 2[1000/10000 (10%)]: Time:10.75, TrainLoss: 0.0172, TrainAccu: 1.0000, TestLoss: 0.3996, TestAccu: 0.8980
epoch 2[1500/10000 (15%)]: Time:11.22, TrainLoss: 0.0174, TrainAccu: 1.0000, TestLoss: 0.3562, TestAccu: 0.9090
epoch 2[2000/10000 (20%)]: Time:11.73, TrainLoss: 0.0180, TrainAccu: 1.0000, TestLoss: 0.3512, TestAccu: 0.9100
epoch 2[2500/10000 (25%)]: Time:12.25, TrainLoss: 0.0185, TrainAccu: 1.0000, TestLoss: 0.3268, TestAccu: 0.9100
epoch 2[3000/10000 (30%)]: Time:12.72, TrainLoss: 0.0197, TrainAccu: 1.0000, TestLoss: 0.3768, TestAccu: 0.9050
epoch 2[3500/10000 (35%)]: Time:13.19, TrainLoss: 0.0190, TrainAccu: 1.0000, TestLoss: 0.3968, TestAccu: 0.8960
epoch 2[4000/10000 (40%)]: Time:13.66, TrainLoss: 17.2906, TrainAccu: 0.0000, TestLoss: 0.3884, TestAccu: 0.9000
epoch 2[4500/10000 (45%)]: Time:14.13, TrainLoss: 2.6214, TrainAccu: 0.0000, TestLoss: 0.3149, TestAccu: 0.9140
epoch 2[5000/10000 (50%)]: Time:14.60, TrainLoss: 0.0209, TrainAccu: 1.0000, TestLoss: 0.3582, TestAccu: 0.9100
epoch 2[5500/10000 (55%)]: Time:15.12, TrainLoss: 0.0217, TrainAccu: 1.0000, TestLoss: 0.3669, TestAccu: 0.9110
epoch 2[6000/10000 (60%)]: Time:15.64, TrainLoss: 0.0219, TrainAccu: 1.0000, TestLoss: 0.3675, TestAccu: 0.9080
epoch 2[6500/10000 (65%)]: Time:16.10, TrainLoss: 0.0221, TrainAccu: 1.0000, TestLoss: 0.3604, TestAccu: 0.9070
epoch 2[7000/10000 (70%)]: Time:16.56, TrainLoss: 0.0228, TrainAccu: 1.0000, TestLoss: 0.3735, TestAccu: 0.9060
epoch 2[7500/10000 (75%)]: Time:17.06, TrainLoss: 0.0226, TrainAccu: 1.0000, TestLoss: 0.3364, TestAccu: 0.9120
epoch 2[8000/10000 (80%)]: Time:17.54, TrainLoss: 0.0315, TrainAccu: 1.0000, TestLoss: 0.4217, TestAccu: 0.8900
epoch 2[8500/10000 (85%)]: Time:18.00, TrainLoss: 0.0236, TrainAccu: 1.0000, TestLoss: 0.3953, TestAccu: 0.9000
epoch 2[9000/10000 (90%)]: Time:18.48, TrainLoss: 0.0240, TrainAccu: 1.0000, TestLoss: 0.3369, TestAccu: 0.9100
epoch 2[9500/10000 (95%)]: Time:18.93, TrainLoss: 0.0247, TrainAccu: 1.0000, TestLoss: 0.3345, TestAccu: 0.9120
epoch 3[0/10000 (0%)]: Time:19.42, TrainLoss: 28.1803, TrainAccu: 0.0000, TestLoss: 0.3413, TestAccu: 0.9110
epoch 3[500/10000 (5%)]: Time:19.87, TrainLoss: nan, TrainAccu: 1.0000, TestLoss: nan, TestAccu: 0.5000
epoch 3[1000/10000 (10%)]: Time:20.32, TrainLoss: nan, TrainAccu: 0.0000, TestLoss: nan, TestAccu: 0.5000
epoch 3[1500/10000 (15%)]: Time:20.77, TrainLoss: nan, TrainAccu: 0.0000, TestLoss: nan, TestAccu: 0.5000
epoch 3[2000/10000 (20%)]: Time:21.24, TrainLoss: nan, TrainAccu: 1.0000, TestLoss: nan, TestAccu: 0.5000
epoch 3[2500/10000 (25%)]: Time:21.70, TrainLoss: nan, TrainAccu: 0.0000, TestLoss: nan, TestAccu: 0.5000
epoch 3[3000/10000 (30%)]: Time:22.17, TrainLoss: nan, TrainAccu: 1.0000, TestLoss: nan, TestAccu: 0.5000
epoch 3[3500/10000 (35%)]: Time:22.63, TrainLoss: nan, TrainAccu: 0.0000, TestLoss: nan, TestAccu: 0.5000
epoch 3[4000/10000 (40%)]: Time:23.08, TrainLoss: nan, TrainAccu: 0.0000, TestLoss: nan, TestAccu: 0.5000
epoch 3[4500/10000 (45%)]: Time:23.53, TrainLoss: nan, TrainAccu: 0.0000, TestLoss: nan, TestAccu: 0.5000
epoch 3[5000/10000 (50%)]: Time:24.02, TrainLoss: nan, TrainAccu: 0.0000, TestLoss: nan, TestAccu: 0.5000
epoch 3[5500/10000 (55%)]: Time:24.53, TrainLoss: nan, TrainAccu: 0.0000, TestLoss: nan, TestAccu: 0.5000
epoch 3[6000/10000 (60%)]: Time:25.02, TrainLoss: nan, TrainAccu: 0.0000, TestLoss: nan, TestAccu: 0.5000
